voc1,no2,eth,co,tag
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.57,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.39,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.57,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.57,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.57,1.17,0.4,0.69,background
0.57,1.17,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.57,1.16,0.4,0.69,background
0.57,1.15,0.4,0.69,background
0.57,1.14,0.4,0.69,background
0.57,1.14,0.4,0.69,background
0.57,1.14,0.4,0.68,background
0.57,1.13,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.57,1.13,0.4,0.69,background
0.57,1.12,0.39,0.68,background
0.57,1.12,0.39,0.69,background
0.57,1.11,0.39,0.69,background
0.57,1.11,0.39,0.69,background
0.57,1.12,0.39,0.69,background
0.57,1.12,0.39,0.69,background
0.57,1.12,0.39,0.68,background
0.57,1.11,0.39,0.69,background
0.56,1.12,0.39,0.69,background
0.57,1.12,0.39,0.69,background
0.57,1.12,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.56,1.13,0.39,0.68,background
0.57,1.13,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.57,1.13,0.39,0.68,background
0.57,1.13,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.56,1.13,0.39,0.69,background
0.56,1.14,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.56,1.13,0.39,0.69,background
0.56,1.14,0.39,0.69,background
0.56,1.14,0.39,0.69,background
0.56,1.14,0.39,0.69,background
0.56,1.14,0.39,0.69,background
0.56,1.14,0.39,0.69,background
0.57,1.14,0.39,0.69,background
0.57,1.13,0.39,0.69,background
0.56,1.13,0.39,0.69,background
0.56,1.13,0.39,0.68,background
0.56,1.13,0.39,0.68,background
0.56,1.13,0.39,0.69,background
0.56,1.12,0.39,0.69,background
0.56,1.12,0.39,0.69,background
0.56,1.12,0.39,0.69,background
0.56,1.13,0.38,0.69,background
0.56,1.13,0.38,0.69,background
0.56,1.13,0.39,0.68,background
0.56,1.13,0.38,0.69,background
0.56,1.14,0.39,0.68,background
0.56,1.14,0.38,0.69,background
0.56,1.13,0.38,0.69,background
0.56,1.13,0.39,0.68,background
0.56,1.13,0.38,0.69,background
0.56,1.13,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.68,background
0.56,1.11,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.56,1.11,0.38,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.11,0.37,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.1,0.38,0.69,background
0.55,1.11,0.38,0.68,background
0.55,1.11,0.37,0.69,background
0.56,1.11,0.38,0.69,background
0.55,1.11,0.38,0.69,background
0.55,1.12,0.38,0.69,background
0.55,1.12,0.38,0.69,background
0.56,1.12,0.38,0.69,background
0.55,1.12,0.38,0.69,background
0.56,1.13,0.38,0.69,background
0.55,1.12,0.38,0.7,background
0.55,1.13,0.38,0.7,background
0.55,1.13,0.38,0.7,background
0.55,1.13,0.38,0.7,background
0.55,1.14,0.38,0.7,background
0.55,1.14,0.38,0.7,background
0.55,1.14,0.38,0.69,background
0.55,1.14,0.38,0.7,background
0.56,1.14,0.38,0.7,background
0.55,1.14,0.38,0.7,background
0.56,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.55,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.56,1.15,0.38,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.15,0.39,0.69,background
0.56,1.15,0.39,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.16,0.39,0.69,background
0.56,1.17,0.39,0.69,background
0.56,1.17,0.39,0.7,background
0.56,1.17,0.39,0.7,background
0.56,1.17,0.39,0.7,background
0.56,1.17,0.39,0.7,background
0.56,1.17,0.39,0.7,background
0.56,1.17,0.39,0.7,background
0.56,1.17,0.39,0.69,background
0.56,1.17,0.39,0.69,background
0.57,1.17,0.39,0.69,background
0.56,1.17,0.39,0.69,background
0.56,1.17,0.39,0.69,background
0.56,1.17,0.4,0.69,background
0.57,1.17,0.4,0.7,background
0.56,1.17,0.4,0.69,background
0.57,1.17,0.4,0.69,background
0.56,1.17,0.39,0.69,background
0.57,1.18,0.4,0.7,background
0.57,1.17,0.4,0.7,background
0.57,1.18,0.4,0.7,background
0.57,1.18,0.39,0.69,background
0.57,1.17,0.4,0.7,background
1.7,2.71,1.22,3.02,coffee
1.7,2.71,1.22,3.03,coffee
1.71,2.71,1.22,3.02,coffee
1.7,2.7,1.22,3.02,coffee
1.7,2.69,1.22,3.01,coffee
1.69,2.69,1.22,2.99,coffee
1.69,2.68,1.22,2.97,coffee
1.68,2.67,1.21,2.95,coffee
1.68,2.66,1.21,2.94,coffee
1.67,2.66,1.21,2.92,coffee
1.67,2.66,1.21,2.92,coffee
1.66,2.67,1.21,2.92,coffee
1.67,2.67,1.21,2.92,coffee
1.67,2.68,1.21,2.94,coffee
1.67,2.68,1.22,2.95,coffee
1.67,2.69,1.22,2.96,coffee
1.68,2.69,1.22,2.97,coffee
1.68,2.7,1.22,2.99,coffee
1.69,2.7,1.22,3,coffee
1.7,2.7,1.22,3.02,coffee
1.7,2.7,1.22,3.03,coffee
1.7,2.7,1.22,3.04,coffee
1.71,2.7,1.22,3.05,coffee
1.71,2.7,1.22,3.06,coffee
1.72,2.71,1.22,3.07,coffee
1.72,2.7,1.21,3.07,coffee
1.72,2.7,1.22,3.07,coffee
1.72,2.71,1.22,3.06,coffee
1.72,2.71,1.22,3.06,coffee
1.72,2.71,1.22,3.06,coffee
1.72,2.71,1.22,3.05,coffee
1.72,2.71,1.22,3.06,coffee
1.73,2.71,1.22,3.07,coffee
1.73,2.71,1.21,3.08,coffee
1.73,2.7,1.21,3.08,coffee
1.74,2.7,1.22,3.09,coffee
1.74,2.7,1.21,3.09,coffee
1.74,2.7,1.21,3.09,coffee
1.73,2.69,1.21,3.08,coffee
1.73,2.69,1.21,3.07,coffee
1.73,2.7,1.21,3.06,coffee
1.72,2.7,1.21,3.06,coffee
1.72,2.7,1.22,3.05,coffee
1.72,2.7,1.22,3.05,coffee
1.72,2.7,1.22,3.05,coffee
1.72,2.71,1.22,3.04,coffee
1.72,2.71,1.22,3.05,coffee
1.72,2.71,1.22,3.06,coffee
1.73,2.71,1.22,3.06,coffee
1.73,2.71,1.22,3.07,coffee
1.74,2.71,1.22,3.08,coffee
1.74,2.71,1.22,3.09,coffee
1.74,2.71,1.22,3.1,coffee
1.75,2.71,1.22,3.11,coffee
1.75,2.71,1.22,3.11,coffee
1.75,2.7,1.22,3.11,coffee
1.74,2.7,1.22,3.11,coffee
1.75,2.7,1.22,3.11,coffee
1.74,2.7,1.22,3.11,coffee
1.74,2.7,1.22,3.09,coffee
1.74,2.69,1.22,3.08,coffee
1.73,2.68,1.22,3.07,coffee
1.72,2.68,1.22,3.06,coffee
1.71,2.68,1.21,3.04,coffee
1.7,2.68,1.22,3.03,coffee
1.7,2.67,1.22,3.02,coffee
1.7,2.67,1.22,3.01,coffee
1.69,2.67,1.22,3.01,coffee
1.68,2.66,1.21,3,coffee
1.68,2.66,1.22,2.99,coffee
1.67,2.66,1.21,2.97,coffee
1.67,2.66,1.21,2.96,coffee
1.66,2.65,1.21,2.95,coffee
1.66,2.65,1.21,2.94,coffee
1.66,2.65,1.22,2.93,coffee
1.65,2.66,1.22,2.92,coffee
1.65,2.66,1.22,2.92,coffee
1.64,2.67,1.22,2.91,coffee
1.64,2.67,1.22,2.92,coffee
1.64,2.68,1.22,2.93,coffee
1.64,2.68,1.22,2.93,coffee
1.65,2.68,1.23,2.94,coffee
1.64,2.69,1.23,2.94,coffee
1.64,2.7,1.23,2.94,coffee
1.64,2.69,1.23,2.94,coffee
1.64,2.7,1.23,2.94,coffee
1.64,2.69,1.24,2.95,coffee
1.65,2.7,1.23,2.96,coffee
1.65,2.7,1.24,2.97,coffee
1.65,2.7,1.23,2.97,coffee
1.66,2.7,1.23,2.98,coffee
1.66,2.7,1.23,2.99,coffee
1.66,2.71,1.23,3,coffee
1.66,2.71,1.24,3,coffee
1.66,2.71,1.24,3,coffee
1.66,2.71,1.23,3.01,coffee
1.67,2.71,1.23,3.02,coffee
1.67,2.71,1.23,3.03,coffee
1.68,2.71,1.23,3.03,coffee
1.68,2.71,1.23,3.04,coffee
1.68,2.71,1.24,3.04,coffee
1.69,2.71,1.23,3.05,coffee
1.68,2.71,1.23,3.05,coffee
1.69,2.71,1.23,3.05,coffee
1.68,2.71,1.24,3.05,coffee
1.68,2.7,1.23,3.05,coffee
1.68,2.7,1.23,3.04,coffee
1.68,2.7,1.23,3.04,coffee
1.67,2.7,1.23,3.04,coffee
1.67,2.69,1.23,3.03,coffee
1.67,2.68,1.23,3.03,coffee
1.66,2.68,1.23,3.02,coffee
1.66,2.68,1.24,3.01,coffee
1.65,2.68,1.23,3,coffee
1.64,2.67,1.23,2.99,coffee
1.64,2.66,1.23,2.97,coffee
1.63,2.65,1.23,2.95,coffee
1.62,2.63,1.22,2.93,coffee
1.61,2.62,1.22,2.9,coffee
1.61,2.61,1.21,2.89,coffee
1.6,2.61,1.22,2.88,coffee
1.6,2.61,1.21,2.88,coffee
1.6,2.61,1.21,2.87,coffee
1.59,2.62,1.21,2.88,coffee
1.6,2.63,1.22,2.88,coffee
1.59,2.63,1.22,2.89,coffee
1.59,2.64,1.22,2.9,coffee
1.6,2.64,1.22,2.9,coffee
1.6,2.65,1.22,2.91,coffee
1.6,2.65,1.23,2.92,coffee
1.6,2.66,1.22,2.93,coffee
1.6,2.66,1.23,2.93,coffee
1.6,2.66,1.23,2.94,coffee
1.6,2.66,1.23,2.94,coffee
