voc1,no2,eth,co,tag
1.22,1.12,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.13,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.11,1.09,0.78,background
1.22,1.12,1.09,0.78,background
1.22,1.11,1.09,0.78,background
1.21,1.12,1.09,0.78,background
1.22,1.11,1.09,0.78,background
1.22,1.11,1.09,0.78,background
1.21,1.11,1.08,0.78,background
1.22,1.1,1.08,0.78,background
1.21,1.1,1.08,0.78,background
1.21,1.1,1.08,0.78,background
1.22,1.1,1.08,0.78,background
1.21,1.1,1.08,0.78,background
1.21,1.1,1.08,0.78,background
1.21,1.1,1.08,0.78,background
1.21,1.1,1.08,0.78,background
1.21,1.11,1.08,0.78,background
1.21,1.11,1.08,0.78,background
1.21,1.11,1.08,0.78,background
1.21,1.11,1.08,0.78,background
1.21,1.11,1.09,0.78,background
1.21,1.12,1.08,0.78,background
1.21,1.11,1.09,0.78,background
1.21,1.12,1.08,0.78,background
1.21,1.12,1.09,0.78,background
1.2,1.12,1.09,0.78,background
1.2,1.12,1.08,0.78,background
1.21,1.12,1.09,0.78,background
1.2,1.12,1.08,0.78,background
1.2,1.12,1.08,0.78,background
1.2,1.11,1.08,0.78,background
1.2,1.1,1.08,0.78,background
1.2,1.11,1.08,0.77,background
1.2,1.1,1.08,0.77,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.1,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.08,0.77,background
1.19,1.11,1.07,0.77,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.2,1.1,1.07,0.77,background
1.2,1.1,1.07,0.78,background
1.19,1.1,1.07,0.77,background
1.2,1.1,1.07,0.77,background
1.19,1.11,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.12,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.12,1.07,0.78,background
1.2,1.12,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.11,1.07,0.78,background
1.2,1.1,1.07,0.78,background
1.2,1.09,1.07,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.2,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.77,background
1.19,1.11,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.07,0.78,background
1.2,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.09,1.06,0.77,background
1.19,1.1,1.07,0.77,background
1.19,1.09,1.06,0.77,background
1.19,1.09,1.07,0.78,background
1.19,1.09,1.07,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.07,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.2,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.79,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.07,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.1,1.07,0.78,background
1.18,1.1,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.12,1.06,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.2,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.2,1.13,1.07,0.78,background
1.2,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.2,1.12,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.13,1.07,0.78,background
1.19,1.12,1.08,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.12,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.07,0.78,background
1.19,1.11,1.06,0.78,background
1.19,1.11,1.07,0.78,background
1.18,1.11,1.06,0.79,background
1.18,1.11,1.06,0.78,background
1.18,1.1,1.06,0.78,background
1.19,1.1,1.06,0.78,background
1.18,1.1,1.06,0.78,background
1.18,1.1,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.19,1.09,1.06,0.78,background
1.18,1.09,1.05,0.78,background
1.19,1.09,1.05,0.78,background
1.19,1.09,1.05,0.78,background
1.19,1.08,1.05,0.78,background
1.18,1.08,1.05,0.78,background
1.18,1.08,1.04,0.78,background
1.18,1.07,1.04,0.78,background
1.18,1.07,1.04,0.78,background
1.18,1.07,1.04,0.78,background
1.17,1.07,1.03,0.78,background
1.18,1.06,1.03,0.78,background
1.18,1.06,1.03,0.78,background
1.18,1.06,1.02,0.78,background
1.18,1.06,1.03,0.79,background
1.18,1.06,1.03,0.79,background
1.17,1.06,1.03,0.78,background
1.17,1.05,1.02,0.79,background
1.17,1.05,1.02,0.79,background
1.17,1.05,1.02,0.78,background
1.17,1.05,1.02,0.78,background
1.18,1.05,1.01,0.79,background
1.17,1.05,1.01,0.79,background
1.17,1.05,1.01,0.79,background
1.17,1.05,1.01,0.78,background
1.17,1.05,1.01,0.79,background
1.17,1.05,1.01,0.78,background
1.17,1.05,1.01,0.79,background
1.17,1.05,1.01,0.79,background
1.17,1.05,1.01,0.79,background
1.17,1.06,1.01,0.79,background
1.17,1.06,1.01,0.79,background
1.17,1.06,1.01,0.79,background
1.17,1.06,1.01,0.79,background
1.17,1.05,1.01,0.79,background
1.17,1.05,1.01,0.79,background
1.17,1.06,1.01,0.78,background
1.17,1.06,1.01,0.79,background
1.17,1.07,1.01,0.79,background
1.17,1.07,1.01,0.79,background
1.17,1.07,1.01,0.79,background
1.17,1.08,1.01,0.79,background
1.17,1.08,1.02,0.79,background
1.17,1.09,1.02,0.79,background
1.17,1.09,1.02,0.78,background
1.17,1.09,1.02,0.79,background
1.17,1.09,1.02,0.79,background
1.17,1.09,1.03,0.78,background
1.17,1.09,1.03,0.79,background
1.17,1.09,1.03,0.78,background
1.17,1.09,1.03,0.79,background
1.17,1.09,1.03,0.79,background
1.17,1.1,1.02,0.79,background
1.17,1.1,1.03,0.79,background
1.17,1.1,1.03,0.79,background
1.17,1.1,1.03,0.79,background
1.17,1.09,1.03,0.79,background
1.17,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.17,1.09,1.04,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.17,1.09,1.04,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.03,0.78,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.19,1.1,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.04,0.78,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.05,0.78,background
1.19,1.11,1.04,0.79,background
1.19,1.11,1.04,0.79,background
1.18,1.11,1.05,0.79,background
1.19,1.11,1.04,0.79,background
1.18,1.11,1.04,0.78,background
1.18,1.11,1.05,0.78,background
1.18,1.11,1.04,0.79,background
1.18,1.11,1.04,0.79,background
1.18,1.11,1.04,0.78,background
1.18,1.11,1.05,0.78,background
1.18,1.11,1.05,0.78,background
1.18,1.1,1.04,0.79,background
1.18,1.1,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.05,0.78,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.17,1.09,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.79,background
1.18,1.09,1.04,0.78,background
1.18,1.09,1.04,0.78,background
1.17,1.09,1.04,0.78,background
1.17,1.09,1.04,0.78,background
1.18,1.09,1.04,0.78,background
